,ticker,market_cap
86,COP,68412107040.0
273,ANTM,69211167000.0
254,EL,69606617639.4
234,D,69953672000.0
329,BDX,70328661250.0
247,CB,70737105692.4
279,DUK,71055630000.0
462,SPGI,74035434000.0
302,SO,74675900000.0
130,CI,74820150830.0
137,TJX,76277216610.0
229,CAT,76822475000.0
202,CME,78375528420.0
262,SYK,81234017000.0
288,BKNG,81452763810.0
103,GILD,81766310000.0
62,LOW,82911460000.0
26,RTX,83729188000.0
337,BLK,84979344539.50002
455,MDLZ,85730400000.0
32,USB,85877750000.0
82,MS,88264800000.0
278,MO,89712000000.0
21,INTU,90334706085.0
292,CVS,90971549999.99998
132,GS,91670815000.0
161,UPS,93852000000.0
253,MMM,95084601000.0
316,QCOM,99625200000.0
205,SBUX,103749116000.0
15,AMT,104786304000.0
212,BMY,109242720000.0
160,CHTR,110322209612.40001
197,AXP,110572600000.0
264,GE,111056520000.0
299,LIN,113520749100.0
101,TXN,118447840000.0
97,DHR,120870750000.00002
152,ABBV,121361520000.0
346,IBM,122110089553.85352
294,LMT,123708420000.0
220,ACN,125066906744.5
478,COST,125759127390.0
320,MDT,127976192000.0
458,AVGO,128431880000.0
361,TMO,128903580000.0
285,UNP,129265727000.0
404,HON,130241702000.0
414,NEE,131051015000.0
488,PM,131217480000.0
91,LLY,133494036279.99998
80,AMGN,137725350000.0
176,PYPL,139138560000.0
109,CRM,144840000000.0
95,NKE,156056384774.80002
195,NFLX,157096756582.34998
168,ABT,158793960000.0
141,NVDA,161946900000.0
118,ADBE,162607101880.0
105,MCD,165356082000.0
57,C,175402179000.00003
259,ORCL,182059380000.0
38,BA,182987800000.0
213,PEP,199990979999.99997
408,CMCSA,203485400000.0
323,CSCO,209736300000.0
270,PFE,210372250000.0
340,CVX,211103000000.0
155,WFC,212020914000.0
406,DIS,217462980000.0
496,MRK,223170000000.0
317,VZ,245750400000.0
308,HD,250050180000.0
138,KO,253922040000.0
276,UNH,271426680000.00003
293,T,275035640000.0
158,XOM,276653300000.0
3,AAPL,289452950311.413
402,INTC,293831370000.0
61,WMT,308826240000.0
146,BAC,316148292000.0
147,MA,331598120000.0
265,PG,345082630748.39996
29,JNJ,401302850000.0
36,V,407256000000.0
214,JPM,438979055999.99994
163,GOOG,504691685280.0
150,FB,602608280000.0
384,AMZN,942822720000.0
219,GOOGL,1015875063000.0
475,MSFT,1566563653902.0
